TimePeriod,Inst g,Avg g,Lengths
0.8845,9.08315,0.50625,18.0
0.8845,9.08315,0.33688,18.0
668.03052,2e-05,0.01482,18.0
63.697,0.00175,0.00046,18.0
0.686,15.10025,0.32234,18.0
45.9005,0.00337,0.0052,18.0
4.8485,0.30229,0.00904,18.0
3.8425,0.48129,0.00877,18.0
0.689,14.96904,0.21682,18.0
2.7935,0.91062,0.01298,18.0
6.7865,0.15429,0.00287,18.0
0.658,16.41272,0.18628,18.0
0.906,8.65717,0.08804,18.0
0.6725,15.71259,0.14226,18.0
16.03253,0.03686,0.00151,24.0
0.72419,18.06633,0.146,24.0
9.43,0.07991,0.00087,18.0
0.701,14.46093,0.10193,18.0
0.704,14.33795,0.09442,18.0
94.752,0.00079,0.00079,18.0
0.6895,14.94733,1.3212,18.0
0.694,14.75412,0.69088,18.0
27.9604,0.00909,0.00909,18.0
1.26025,4.4742,0.45259,18.0
0.94979,7.87733,0.37635,18.0
0.9512,7.85392,0.24583,18.0
22.70156,0.01838,0.00627,24.0
0.86139,12.76954,0.29787,24.0
17.66549,1.02277,1.02277,18.0
0.96181,8.68163,0.72895,18.0
1.28289,5.31774,0.22853,18.0
59.47666,1.00201,0.04285,18.0
0.9505,8.86561,0.23114,18.0
173.8232,1.00024,0.03078,18.0
1.4703,4.28717,0.0893,18.0
20.94908,1.01619,0.02168,18.0
0.94625,8.93631,0.14561,18.0
1.26803,5.41947,0.07744,18.0
0.94837,8.90085,0.11126,18.0
1.26803,5.41947,0.05998,18.0
40.57426,1.00324,1.00324,13.5
1.04738,5.85828,0.55927,13.5
5.01556,1.21186,0.0693,13.5
11.44342,1.0407,0.055,13.5
1.10396,5.37307,0.17928,13.5
0.85926,8.21838,0.20122,13.5
14.38685,1.03433,0.02528,18.0
0.94201,9.00797,0.1527,18.0
0.97525,8.47141,0.12123,18.0
0.85714,10.67221,0.13011,18.0
17.29137,1.02377,0.014,18.0
46.085,1.00316,1.00316,17.0
1.713,3.28715,0.37057,17.0
24.334,1.01333,0.06577,20.0
1.338,5.4104,0.20936,20.0
4.065,1.47782,0.04079,20.0
1.352,5.31953,0.11831,20.0
1.382,5.13403,0.09179,20.0
1.33,5.46361,0.08152,20.0
19.645,1.01637,1.01637,15.5
1.68,3.23801,0.36673,15.5
15.5,1.02629,0.06989,15.5
23.551,1.01424,0.05129,18.0
1.41,4.97147,0.15219,18.0
1.408,4.98276,0.11154,18.0
1.426,4.88285,0.08624,18.0
1.217,6.331,0.09152,18.0
25.093,1.00909,1.00909,14.5
1.602,3.2305,0.34864,14.5
1.385,3.9842,0.193,14.5
26.687,1.01219,1.01219,22.0
1.96,3.26084,0.33166,22.0
1.4,5.43125,0.27067,22.0
1.514,4.78905,0.15526,22.0
14.695,1.04022,0.03527,22.0
1.525,4.73459,0.10798,22.0
5.117,1.3317,0.02621,22.0
1.371,5.6207,0.09501,22.0
1.937,3.31485,0.04829,22.0
5.868,1.25223,0.01667,22.0
9.728,1.09178,0.01367,22.0
35.603,1.00707,0.01219,22.7
1.589,4.54926,0.04858,22.7
1.653,4.27974,0.04098,22.7
